0,9.62209E+33,QGGNB,2/2 Windsor,,,,,
0,9.6128E+21,unfollow,7/1214 Deer Creek,,,Nike Dunk Low SE Sail Multi-Camo DH0957-100 10,,
8/29/2021 22:34,1Z577140YW07009172,unfollow,2/2 Windsor,,,Jordan 6 Retro Gold Hoops (W),,
6/26/2021 19:31,9.63208E+33,Bug,2/2 Windsor,,,Google Docs,,
6/30/2021 10:16,1Z58W4F50310584035,Sandi Dionne,2/2 Windsor,,,,,
6/30/2021 10:16,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY 450 ADULTS DARK SLATE        7.5,,
6/30/2021 21:07,9.62209E+33,Unfollow,2/2 Windsor,,,Google Docs,,
6/30/2021 21:07,9.63208E+33,Unfollow,2/2 Windsor,,,,,
7/4/2021 14:19,9.63208E+33,Unfollow,2/2 Windsor,,,YEEZY 450 ADULTS DARK SLATE 9.5,,
7/4/2021 14:19,9.63208E+33,Unfollow,2/2 Windsor,,,YEEZY 450 KIDS GY0402,,
7/4/2021 14:19,9.63208E+33,Unfollow,2/2 Windsor,,,YEEZY 450 ADULTS DARK SLATE 9.5,,
7/4/2021 14:19,9.6128E+21,WBLKX,2/2 Windsor,,,,,
7/4/2021 14:19,9.62208E+33,Ying,2/2 Windsor,,,,,
7/6/2021 14:05,9.6128E+21,WBLKX,7/1214 Deer Creek,,,,,
7/6/2021 14:09,9.6128E+21,WBLKX,7/1214 Deer Creek,,,,,
7/6/2021 14:09,9.62208E+33,Ying,7/1214 Deer Creek,,,,,
7/6/2021 14:16,9.6128E+21,WBLKX,7/1214 Deer Creek,,,,,
7/6/2021 14:18,9.63208E+33,Unfollow,7/1214 Deer Creek,,,mono ice 8,,
7/6/2021 16:26,9.63208E+33,Unfollow,7/1214 Deer Creek,,,mono ice 9,,
7/7/2021 16:26,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 16:26,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 16:26,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 16:26,9.6128E+21,Unfollow,2/2 Windsor,,,Jordan 6 Retro Gold Hoops (W) DH9696-100        5.5,,
7/7/2021 16:26,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 16:26,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
7/7/2021 16:27,9.62209E+33,Unfollow,2/2 Windsor,,,YEEZY BOOST 700 MNVN ,,
